Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,State,City,Category,Sub-Category,Sales,Quantity,Discount,Profit,Region
ORD-10000,2023-01-01,2023-01-02,Standard Class,CUST-20000,Ali,Consumer,India,Delhi,New Delhi,Furniture,Tables,2457.51,2,0.27,274.4,North
ORD-10001,2023-01-02,2023-01-03,Standard Class,CUST-20001,John,Home Office,India,Maharashtra,Nagpur,Office Supplies,Binders,5515.1,6,0.15,701.9,West
ORD-10002,2023-01-03,2023-01-04,Second Class,CUST-20002,Meera,Home Office,India,Telangana,Warangal,Office Supplies,Accessories,3171.95,2,0.22,43.22,South
ORD-10003,2023-01-04,2023-01-05,Same Day,CUST-20003,David,Corporate,India,Maharashtra,Mumbai,Office Supplies,Binders,4468.67,6,0.09,-292.98,West
ORD-10004,2023-01-05,2023-01-06,Standard Class,CUST-20004,Meera,Corporate,India,Karnataka,Bangalore,Office Supplies,Chairs,4602.71,3,0.1,569.06,South
ORD-10005,2023-01-06,2023-01-07,First Class,CUST-20005,Sara,Consumer,India,Telangana,Hyderabad,Furniture,Storage,5937.53,2,0.06,964.41,South
ORD-10006,2023-01-07,2023-01-08,First Class,CUST-20006,Priya,Consumer,India,Maharashtra,Nagpur,Office Supplies,Chairs,2409.48,6,0.17,488.87,West
ORD-10007,2023-01-08,2023-01-09,First Class,CUST-20007,Meera,Consumer,India,Maharashtra,Pune,Office Supplies,Tables,4873.61,2,0.09,-144.1,West
ORD-10008,2023-01-09,2023-01-10,Same Day,CUST-20008,Priya,Consumer,India,Delhi,New Delhi,Technology,Storage,6738.99,5,0.03,116.95,North
ORD-10009,2023-01-10,2023-01-11,Second Class,CUST-20009,Meera,Home Office,India,Karnataka,Mysore,Office Supplies,Binders,5165.65,2,0.21,827.93,South
ORD-10010,2023-01-11,2023-01-12,First Class,CUST-20010,John,Home Office,India,Delhi,New Delhi,Office Supplies,Chairs,3531.12,3,0.21,2.34,North
ORD-10011,2023-01-12,2023-01-13,Same Day,CUST-20011,John,Corporate,India,Maharashtra,Mumbai,Technology,Phones,4488.88,3,0.11,490.0,West
ORD-10012,2023-01-13,2023-01-14,Standard Class,CUST-20012,John,Consumer,India,Delhi,New Delhi,Technology,Accessories,5229.84,6,0.02,223.47,North
ORD-10013,2023-01-14,2023-01-15,Second Class,CUST-20013,John,Consumer,India,Karnataka,Mysore,Furniture,Accessories,4363.48,6,0.13,-29.8,South
ORD-10014,2023-01-15,2023-01-16,Standard Class,CUST-20014,John,Corporate,India,Maharashtra,Mumbai,Technology,Phones,313.4,3,0.13,757.43,West
ORD-10015,2023-01-16,2023-01-17,Same Day,CUST-20015,John,Consumer,India,Tamil Nadu,Madurai,Furniture,Tables,1524.46,3,0.2,665.68,South
ORD-10016,2023-01-17,2023-01-18,First Class,CUST-20016,Priya,Consumer,India,Telangana,Hyderabad,Technology,Storage,5711.18,1,0.09,560.07,South
ORD-10017,2023-01-18,2023-01-19,First Class,CUST-20017,David,Consumer,India,Karnataka,Mysore,Technology,Accessories,2054.02,7,0.2,7.24,South
ORD-10018,2023-01-19,2023-01-20,Same Day,CUST-20018,Meera,Consumer,India,Delhi,New Delhi,Furniture,Phones,5174.62,8,0.26,-172.79,North
ORD-10019,2023-01-20,2023-01-21,First Class,CUST-20019,John,Consumer,India,Delhi,New Delhi,Technology,Binders,2730.42,2,0.07,449.01,North
ORD-10020,2023-01-21,2023-01-22,Second Class,CUST-20020,Priya,Corporate,India,Telangana,Warangal,Furniture,Phones,3748.81,4,0.29,419.78,South
ORD-10021,2023-01-22,2023-01-23,Same Day,CUST-20021,Priya,Consumer,India,Delhi,New Delhi,Technology,Tables,662.22,7,0.12,-55.1,North
ORD-10022,2023-01-23,2023-01-24,Standard Class,CUST-20022,Priya,Corporate,India,Tamil Nadu,Madurai,Office Supplies,Tables,1432.33,8,0.08,-226.88,South
ORD-10023,2023-01-24,2023-01-25,Same Day,CUST-20023,David,Consumer,India,Maharashtra,Nagpur,Technology,Chairs,6708.94,1,0.13,-195.08,West
ORD-10024,2023-01-25,2023-01-26,Second Class,CUST-20024,Meera,Home Office,India,Maharashtra,Mumbai,Furniture,Accessories,6252.94,4,0.03,990.6,West
